,lemmatized_text
0,dont unstan tay never please 
1,goat mino 
2,kanin please xd 
3,glorify infirmity realize silly make u realize suave gentleman god 
4,true 
5,hi bam follow bestfriend horan love lot see warsaw lt love lt x 
6,follow thanks please follow 
7,introduce new word v alter understand word x spread either big problem 
8,place forever hold special place heart gon na miss germany 
9,omg gon na happen yeah wish 
10,ready work yet 
11,hardly respond 
12,airport 
13,okay get see morning right 
14,id anything go thorpe park tomorrow 
15,kian love kian love youuuuuu get today omg 
16,sheet hurt nanaman 
17,home amp omg tan 
18,sterling gon na good city 
19,chick 
20,ugh well could still say lucky sapiosexual 
21,final day hale cheshire get lovely shot share tomorrow call book decorate 
22,glad last one day 
23,congrats good news head weekend 
24,think need go bed kind exhaust good night twitter 
25,rosidbinr follback ya 
26,oh okay thanks 
27,little apartment like someone come live 
28,sowwy word limit really grind gear chance win make 
29,new story illustration visual pleasure thanks look 
30,say something give sorry get 
31,u see u follow wait long 
32,cry hakhakhak 
33,gwss thankyouu 
34,grattis 
35,know exactly want get itme paralyze anxiety sadnessme lol 
36,ugh thought 
37,today tee tournament equalityact get 
38,sameee rest well 
39,cut encore badthwin 
40,thanks bae 
41,aww last semester ever def catch sometime soon always leave long 
42,nice sound awesome 
43,fback 
44,weird guess idk 
45,ha one picture 
46,hi would like concert let know city country start work thanks 
47,go alot easy one way view 
48,ya 
49,new product line etsy shop check boxroomcrafts 
50,morning sleepdeprived tiredashell lookingaspoteven kinara close chill awami 
51,let enjoy day 
52,finnick part final book movie go sad askfinnick 
53,active near make account private 
54,stockholm see tonight 
55,falcon love usa 
56,join right 
57,there hour till im prob gon na fall asleep 
58,yes switch back lap optimize window lu 
59,told suicide kill ran away forever 
60,
61,love make two heart one 
62,word explain way miss 
63,p keep alive p p 
64,hi bam follow bestfriend horan love lot see warsaw lt love lt x 
65,world awful 
66,psygustokita huge fan latin beauty queen kath asian latin version 
67,ur crazy af hurt much bc u know shit aint real edit 
68,strange kareena fan know kareena fan 
69,stu mean wan na sleep 
70,ufffff sr dard drinking green tea 
71,sort thanks daaru party chaddi bros 
72,listen rick ross feel like balling know damn well wallet hella empty 
73,yes sue bit dreary 
74,fair enough 
75,ok worry 
76,moar kittehs incoming 
77,welcome kfcroleplayers enjoy amp let friend 
78,love much believe follow please follow please justin x 
79,omg wtf people apb get schedule already wish u 
80,matt would say welcome adulthood 
81,hope bb get proper rest soon 
82,ur la 
83,aint never upload lol also found another vid u dance henry trap keep go fitness journey tommy 
84,phone charge forever 
85,good morning happy birthday good one 
86,nothing bad 
87,hi danielle oh late software instal try back restore 
88,well suck 
89,dinner date tonight pony bf 
90,yeahh 
91,someone talk cant sleep ill talk anything want 
92,pray kid 
93,rude 
94,good morning friday plan day currently play shop 
95,problemmmmmmm 
96,hot air balloon festival retweet 
97,morning 
98,gotcha 
99,ugh im excite make 
100,collect five teal card time get prize make sad sect tennunb 
101,skype account order think hack contact sorry create new one soon 
102,cry derby county leeds united coffee mug unable share hate man u 
103,miss 
104,get excite micha rt fave tweet creep 
105,thanks invite 
106,match history 
107,x 
108,jacob bday get tix u paris omg please wish firsteurope 
109,really like cb outfit time bad 
110,hey wan na check ytb channel post gameplays amp tutorial via 
111,hiya tell amazon fire phone still available find web site 
112,gal also bend one knee put men bend two knee pleasure men heaven 
113,list board see couple week 
114,take back dubai 
115,go room bc 
116,fun 
117,see car drift around corner look bit loose 
118,could make foxy song version instrumental form sound epic beat alone 
119,trust well awell long drunk care weekendofmadness 
120,last episode really intense kagami n kuroko forever lt 
121,athabasca glacier athabasca glacier jasper jaspernationalpark alberta explorealberta 
122,hurt read people holiday work 
123,lol morning wet hey friday 
124,wish 
125,followfriday top new follower community week 
126,lazy 
127,lyin lmao 
128,
129,glad see work hard im grateful compensation honestly play game free good enough 
130,yes suppose bet blue fit hearing speech today pity 
131,favorite subject school physic 
132,eish ive quit know lose twitter mojo shame n dont know get back mara im sure help neh 
133,think fifth album im okay fuck 
134,minha like day 
135,hop grand sidni remarriage occasion year completion congratulation 
136,spending friday night without 
137,pleasure 
138,still dosent work 
139,ahh thank much xxx 
140,hi see u like fourfiveseconds think u might like deaf ear plz let know u think 
141,tht wrong powerpoint presentation expectation diner either 
142,soooo burnt 
143,corner fuck dope get addict great job 
144,without 
145,still work 
146,ahh alright wan na know worthwhile judging tech review well window 
147,yet another randomrestart randomreboot lumia windowsphone microsoft update address issue 
148,u beautiful man yeah sometimes 
149,hello 
150,waiter bill sir customer ok kitchen 
151,last day beach 
152,know right huhu sad lyf 
153,yeap 
154,go bed 
155,keep bad dream corey 
156,current playlist 
157,think everyone 
158,welcome 
159,hi would like concert let know city country start work thanks 
160,consider lucky favourite character even make season finale 
161,get feel ariel body slap literally body slam 
162,score first 
163,sometimes sometimes drown half bottle nyquil throat effect 
164,really stylish amp trendy good go kim keep 
165,look forward night shift tonight 
166,cycling thegrandad 
167,rain 
168,home eye aint apartement 
169,so calumsos lukesos ashtonsos hey guy please follow chelny 
170,ever situation thanks favourite 
171,need hug 
172,thanks follow soap perfect eczema sufferer 
173,ofc glad influence many create many awesome rtss cheer 
174,jessica call quits power ab 
175,jealous want miami 
176,follow amp follow u back 
177,wan na watch paper town 
178,would love win afford buy comic moment pin 
179,eps catch wirh arc v 
180,harryxhood really pretty love feel account yaya nice talk upset 
181,get sad every time think get chesties 
182,dream game setup part finish 
183,guy lit 
184,omg come fast graduate end year know catch ups definite best uni anyways 
185,bc really feel like reading 
186,shit 
187,chicsirific heart 
188,far lfc fan make expert spot mental weakness lack consistency 
189,lol come join u see u around hour u leave without delay 
190,please 
191,expect unexpect bestfriend 
192,get half 
193,thank make tweet favourite 
194,happy birthday pricelessantique takesonetoknowone 
195,carnival men put mask mask xavier forneret 
196,u find ur friend ditch u cause lot thing wtf do im actually nice person 
197,nope emirate air line 
198,feel ill today 
199,noooot tire 
200,funny next anime umaru 
201,real quick 
202,lot people suggest still 
203,miss kid 
204,one favourite mutuals unfollowed 
205,qian tonight get photoshoooot 
206,also move tomorrow good luck 
207,halfway around world get nothing well go ex best friend forgotten 
208,r also provide pop office provide require service smile 
209,snake 
210,
211,bad dream 
212,new sandra bland footage really ice cake heartbreaking drag lifeless body police car 
213,stay home go timing maybe back 
214,gamedev hobby 
215,sir wish detailed data available india 
216,hack go size yr ago go size size hate 
217,full really great job congrats 
218,feel well 
219,internet total bitch 
220,
221,need investigate 
222,seventh spot na lang otwolgrandtrailer 
223,
224,please watch infinite mv 
225,icecream leeds 
226,gn love u see u day 
227,wahahaah p 
228,thanks share article 
229,fuck 
230,love every step way 
231,hi bam follow bestfriend horan love lot see warsaw lt love lt x 
232,msg play fantasy maybe get league bowwowchicawowwow 
233,rod tame embrace inner actor aplomb congratulation mate 
234,pap spirit animal dont 
235,dear plz post creation public without permission amtired tell every 
236,know say know 
237,gud afterznoon jumma mubarak tweeeps plz remember u ur prayer 
238,yoohoo shatter record bajrangibhaijaanstorm superhappy 
239,need massage 
240,feel look well people see tbhthey look tacky 
241,throat sore 
242,thank honest need reassure bit please enjoy game know happy friday 
243,try earlier give im twitch 
244,sorry hypercholesteloremia ok 
245,oh dear 
246,sure would good thing bottom dare say miss b im gon na stubborn mouth soap nothavingit p 
247,thanks follow great day 
248,manage sort ticket issue mate nobody picked rang box office 
249,sympathy laugh 
250,oh still stuck island need learn sail ship faster 
251,need rest badly 
252,ff thank 
253,smooth handover 
254,lmaoo mca team gettin hella money dm u wana make fast bandz asap 
255,please tweet something sad cheer please 
256,tell sad book another cruise line could do double wail 
257,great singer 
258,except lord masha allah 
259,evr steel next wednesday see like 
260,im stream dude pull view time 
261,yeah really shoulda hippo one 
262,one japan pop artist become one follower ig nice 
263,thanks follow back ya 
264,want good least watchable account neither 
265,lt lt make sure look amp leave comment article 
266,fair still look cute 
267,never talk racial issue 
268,oh hope everything okay 
269,follow instagram 
270,til th sept co bill start full rent 
271,seed beat seed solar show thank 
272,follow amp follow u back 
273,unfollow 
274,hi bam follow bestfriend horan love lot see warsaw lt love lt x 
275,think amp matt ever get back together stay friend 
276,elf hbu 
277,justin come scotland 
278,miss youu 
279,follow back pleasse 
280,love much believe follow please follow please justin x 
281,monica go davao luckyyyy 
282,buuuut want 
283,cnn run strapline movie theatre safe yes problem lie guncontrol lafayette 
284,whenever another movie night 
285,terrible daughter 
286,happen love 
287,love much believe follow please follow please justin x 
288,awww imperative trmdhesitant 
289,thanks 
290,welcome shane online session 
291,feel unhappy today 
292,hey buddy think anything 
293,follow amp follow u back 
294,livid still work 
295,forgot get pale foundation 
296,today improve tomorrow 
297,starsquad please get follow awesome 
298,ah thank reason right 
299,wow miss long hair brace amp softball 
300,h kid make 
301,want durian strudel 
302,happy birthday momma bear love much redid found last picture th grade 
303,follow amp follow u back 
304,so sometimes hate 
305,yahoo pipe end sept news feed end 
306,miss lot hope see soon x 
307,thrice 
308,please enjoy clip lose shit cypher 
309,glow morning yayyyy happy friday xx 
310,gutted never go distant world london well long 
311,follow amp follow u back 
312,one best conversation ai today pleasure meeting sir 
313,delphy injured 
314,ty av gd wknd u n tweet 
315,quick blood test ever arm hurt 
316,also go drive hour today main road shop go quite well thanks 
317,airport picture jongdae hardly see tlists 
318,stats day arrive new follower unfollowers via 
319,yeah guy b mean rapist feeling like commit crime anything 
320,miss vega 
321,thx follow 
322,happy birthday miss chenoweth hope great one oodles cake 
323,good advice friday 
324,poor guy 
325,love big juicy selfies 
326,feel little neglect visit postie today 
327,mypapamypride ourdaughtersourpride love n encourage change life everyone 
328,regret nothing 
329,hay 
330,thanks recommendation shiva happy music mp mobile apps 
331,either would prefer benzema get though 
332,get paid open kind offer 
333,goodnight 
334,miss chris voice 
335,oh doedn sound good 
336,xbsbabnb poor 
337,hate first win yet 
338,barely use twitter 
339,player 
340,shymc call scouser everything hope zoe well mate 
341,follow thanks please follow 
342,good hear 
343,hierro 
344,please notice men 
345,wow great username 
346,annoy one use really good 
347,kinda true 
348,kid inside want one 
349,fun osaka super junior would lovely watch comeback stage though 
350,oh yeah one major sugarrush 
351,rebound run away already pooooooooor 
352,gorgeous son amp morocco last year special holiday peru nxt year 
353,snap 
354,tgif forecast rain weird way mind work anyway rain kinda soothe summer 
355,already sell like week ago 
356,also u make rice krispy treat without marshmallow gt 
357,yup thought go sale wnt sale bought 
358,great weekend tami thank 
359,inactive wan na cry 
360,ahh change sound cooler lmao yes minhyuks 
361,dat suks want old sleep schedule back 
362,sound like reach level 
363,hi may like play new gamejam game would happy 
364,come tomorrow team count gohf 
365,ashamed language 
366,follow forgot followback unfollowed 
367,use anyones netflix account inactive wan na watch orphan black 
368,junior p 
369,alrd joy 
370,happy birthday gorgeous hopefully see fair 
371,chamber benzema celebrate quite well know make seem pretty happy 
372,yes 
373,baby boy 
374,well heatwave lower standard 
375,look pretty nice love flat look 
376,rain mr run mile mr complains left raincoat boy car drive get wet 
